,flux,flux_err,mag,mag_err,jd,band,sub,site,phase,filter
180,2.1694425558283033e-16,4.157080175840147e-18,18.08172647446924,0.020810593662515926,2458997.8753935,V,True,88,3.245393500197679,V
181,2.9809531446932805e-16,4.476128065524622e-18,17.73663705625845,0.01630442092863113,2458998.8753935,V,True,88,4.245393500197679,V
182,3.6981518113509047e-16,4.866849777668789e-18,17.50252239487506,0.014288960506493394,2458999.8753935,V,True,88,5.245393500197679,V
183,4.2270241354286914e-16,5.57231945852772e-18,17.357377316006172,0.014312608634583468,2459000.8753935,V,True,88,6.245393500197679,V
184,4.533496259289104e-16,6.763313681734562e-18,17.281372955018238,0.016197409340831168,2459001.8753935,V,True,88,7.245393500197679,V
185,4.654861381881979e-16,7.951363553086055e-18,17.25268726591838,0.018546324947807245,2459002.8753935,V,True,88,8.245393500197679,V
186,4.664450280580158e-16,9.050588213729274e-18,17.25045285575311,0.021066923053536697,2459003.8753935,V,True,88,9.245393500197679,V
187,4.617109820464311e-16,9.624078737822022e-18,17.261528687766308,0.02263151653218127,2459004.8753935,V,True,88,10.245393500197679,V
188,4.536003290892879e-16,9.346415991433616e-18,17.280771047429003,0.02237150420035525,2459005.8753935,V,True,88,11.245393500197679,V
189,4.421073190583768e-16,8.314933967559395e-18,17.30863565929208,0.020419846667295675,2459006.8753935,V,True,88,12.245393500197679,V
190,4.262600706592057e-16,7.177431887820354e-18,17.348269209480126,0.01828168193991519,2459007.8753935,V,True,88,13.245393500197679,V
191,4.051385051006869e-16,6.625789239831836e-18,17.403448655237035,0.017756508026816425,2459008.8753935,V,True,88,14.245393500197679,V
192,3.7852776215077815e-16,5.74915788079729e-18,17.477215583998046,0.016490078378335944,2459009.8753935,V,True,88,15.245393500197679,V
193,3.471368321626564e-16,4.7662700330066134e-18,17.57121143170592,0.014907416672687157,2459010.8753935,V,True,88,16.24539350019768,V
194,3.132433985572111e-16,4.873513807123507e-18,17.682760796782578,0.016892651203599948,2459011.8753935,V,True,88,17.24539350019768,V
195,2.81703772978777e-16,4.682554389296507e-18,17.797982905526204,0.018047370351813568,2459012.8753935,V,True,88,18.24539350019768,V
196,2.560856040756354e-16,4.311251338733638e-18,17.9014992057253,0.018278826815631154,2459013.8753935,V,True,88,19.24539350019768,V
197,2.3475579277606977e-16,4.668752441285031e-18,17.995920642003625,0.021593500651012294,2459014.8753935,V,True,88,20.24539350019768,V
